# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.014278,-0.0247,0.6801,0.7617,1.02
0.023152,-0.0073,0.7124,0.6709,0.98
0.036647,0.0034,0.7073,0.6618,0.97
0.038682,0.0188,0.7078,0.6696,0.97
0.059501,0.0195,0.7063,0.6740,0.98
0.081799,0.0125,0.7014,0.6933,0.99
0.093455,0.0086,0.7034,0.6845,0.98
0.099290,0.0024,0.7056,0.6924,0.99
0.099371,-0.0005,0.7053,0.6907,0.99
0.099413,0.0010,0.7065,0.6887,0.99
0.109131,0.0012,0.7068,0.6887,0.99
0.126283,0.0044,0.7021,0.6889,0.98
0.138277,0.0059,0.7016,0.6973,0.99
0.150250,0.0093,0.6973,0.7102,1.00
0.161869,0.0181,0.6877,0.7273,1.00
0.174100,0.0195,0.6887,0.7349,1.01
0.186018,0.0176,0.6907,0.7366,1.01
0.198150,0.0090,0.6892,0.7383,1.01
0.210289,0.0073,0.6863,0.7459,1.01
0.222149,0.0024,0.6853,0.7515,1.02
0.233265,0.0000,0.6911,0.7351,1.01
0.244401,-0.0039,0.6880,0.7324,1.00
0.256139,-0.0037,0.6880,0.7398,1.01
0.267992,-0.0078,0.6858,0.7564,1.02
0.279527,-0.0032,0.6826,0.7554,1.02
0.291265,-0.0022,0.6843,0.7556,1.02
0.303027,-0.0010,0.6819,0.7532,1.02
0.314714,0.0017,0.6784,0.7539,1.01
0.326383,0.0078,0.6775,0.7610,1.02
0.338053,0.0083,0.6755,0.7632,1.02
0.349651,0.0137,0.6801,0.7613,1.02
0.361448,0.0103,0.6814,0.7552,1.02
0.373065,0.0066,0.6838,0.7510,1.02
0.384664,0.0090,0.6875,0.7400,1.01
0.396180,0.0044,0.6899,0.7402,1.01
0.407719,0.0029,0.6931,0.7310,1.01
0.419395,0.0037,0.6936,0.7297,1.01
0.431022,-0.0017,0.6941,0.7212,1.00
0.436912,-0.0044,0.6936,0.7239,1.00
0.437019,-0.0064,0.6929,0.7222,1.00
0.437059,-0.0042,0.6943,0.7224,1.00
0.449584,-0.0044,0.6931,0.7229,1.00
0.452204,-0.0039,0.6919,0.7246,1.00
0.454124,-0.0024,0.6914,0.7249,1.00
0.461572,-0.0015,0.6904,0.7258,1.00
0.464404,0.0015,0.6899,0.7275,1.00
0.473395,0.0012,0.6889,0.7266,1.00
0.485009,0.0032,0.6902,0.7293,1.00
0.496625,0.0044,0.6914,0.7266,1.00
0.508283,0.0059,0.6946,0.7280,1.01
0.519829,0.0051,0.6973,0.7302,1.01
0.531877,0.0076,0.6938,0.7251,1.00
0.543659,0.0093,0.6941,0.7263,1.00
0.546306,0.0115,0.6931,0.7280,1.01
0.555427,0.0105,0.6921,0.7266,1.00
0.558352,0.0122,0.6938,0.7229,1.00
0.580203,0.0107,0.6946,0.7219,1.00
0.582348,0.0105,0.6924,0.7202,1.00
0.584281,0.0093,0.6926,0.7187,1.00
0.588027,0.0081,0.6943,0.7161,1.00
0.593839,0.0086,0.6951,0.7139,1.00
0.596179,0.0081,0.6977,0.7087,0.99
0.605299,0.0086,0.6958,0.7048,0.99
0.608150,0.0105,0.6968,0.7026,0.99
0.610085,0.0071,0.6973,0.7007,0.99
0.611987,0.0059,0.6970,0.7036,0.99
0.619051,0.0042,0.6958,0.7038,0.99
0.622169,0.0029,0.6955,0.7056,0.99
